Identifier,Company Name,Country of Exchange,"Company Market Cap(USD)","Historic P/E(FY0)","Total Debt to Total Equity, Percent(FY0)",Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To Sales (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),"Enterprise Value (Daily Time Series)(USD)",Price To Book Value Per Share (Daily Time Series Ratio),"Quick Ratio(FY0)","Current Ratio(FY0)","Total Assets, Reported(FY0, USD)",Dividend yield,"Revenue(FY0, USD)","Net Income After Taxes(FY0, USD)","Capital Expenditures(FY0, USD)","Retained Earnings, TTM(FI0, USD)"
PPY.HN,Petrovietnam Oil Phu Yen JSC,Vietnam,,,,,,,,,,,,,0.08,,,,
BTU.HNO,Bentre Urban Project JSC,Vietnam,,,,,,,,,,,,,,,,,
VGG.HNO,VietTien Garment Corp,Vietnam,,,,,,,,,,,,,0.05,,,,
DNW.HNO,Dong Nai Water JSC,Vietnam,,,1.31,10.2,4.27,17.34,0.49,162291982,1.57,1.09,1.17,145542158,,36945126.39,6172855.39,-10361003.06,5050649.38
IFC.HNO,Saigon Industrial Foodstuffs JSC,Vietnam,2081095.6,,,,,,,,,,,,,,,,
MBS.HN,MB Securities JSC,Vietnam,31700621.63,,,,,,,,,,,,,,,,
HBI.HNO,HBI JSC,Vietnam,59344790.55,,,,,,,,,,,,,,,,
NWT.HNO,Newway Transport JSC,Vietnam,2282491.94,,,,,,,,,,,,0,,,,
KDM.HN,Long Thanh Construction and Trading JSC,Vietnam,3804153.24,,,,,,,,,,,,,,,,
ATS.HN,Atesco Industrial Cartering JSC,Vietnam,1958020.05,,,,,,,,,,,,0,,,,
PNG.HNO,Phu Nhuan Trading JSC,Vietnam,3826530.61,,,,,,,,,,,,,,,,
CDN.HNO,Danang Port JSC,Vietnam,66756176.15,,0.12,,,,0.08,53288927.45,1.86,4.76,4.86,44202504.57,,25499970.64,5836044.52,-3182043.33,
TDM.HNO,Thu Dau Mot Water JSC,Vietnam,22690655.21,,,,,,,,,,,,,,,,
BMN.HNO,715. JSC,Vietnam,,,,,,,,,,,,,,,,,
I10.HNO,Idico No10 Investment Construction JSC,Vietnam,,,,,,,,,,,,,,,,,
MTM.HNO,Central Mining and Mineral Import Export JSC,Vietnam,3745972.07,,,,,,,,,,,,,,,,
SVG.HNO,Industrial Gas and Welding Electrode JSC,Vietnam,9588927.68,,,,,,,,,,,,0.01,,,,
HKP.HNO,Ha Tien Packaging JSC,Vietnam,948800.57,,,,,,,,,,,,,,,,
BDG.HNO,Protrade Garment JSC,Vietnam,14017185.82,,,,,,,,,,,,,,,,
VPD.HNO,Viet Nam Power Development JSC,Vietnam,51018709.69,,,,,,,,,,,,,,,,
KIP.HNO,Electrical Devices JSC No1,Vietnam,,,,,,,,,,,,,,,,,
CLM.HN,Vinacomin Coal Import Export JSC,Vietnam,9353741.5,,,,,,,,,,,,,,,,
SGP.HNO,Saigon Port JSC,Vietnam,111322594.5,,,,,,,,,,,,0,,,,
FCC.HNO,Foodstuff Combinatorial JSC,Vietnam,,,,,,,,,,,,,,,,,
MST.HN,1168 Construction JSC,Vietnam,9505907.63,,,,,,,,,,,,,,,,
MTL.HNO,Tu Liem Urban Environment Service JSC,Vietnam,4027926.96,,,,,,,,,,,,,,,,
TIP.HM,Tin Nghia Industrial Park Development JSC,Vietnam,18387471.33,,,,,,,,,,,,,,,,
HD2.HNO,Housing Development Investment HUD2 JSC,Vietnam,5214401.58,,,,,,,,,,,,0.1,,,,
NSG.HNO,Sai Gon Plastic JSC,Vietnam,,,,,,,,,,,,,,,,,
S4A.HM,Sesan 4A Hydroelectric JSC,Vietnam,27007697.82,,,,,,,,,,,,,,,,
NBT.HNO,Ben Tre Water Supply and Sewerage JSC,Vietnam,,,,,,,,,,,,,,,,,
CNN.HNO,Consultant and Inspection of Construction Technology and Equipment JSC,Vietnam,3308270.68,,,,,,,,,,,,,,,,
ICC.HNO,Industrial Construction JSC,Vietnam,,,,,,,,,,,,,,,,,
CLH.HN,La Hien Cement JSC,Vietnam,6265664.16,,,,,,,,,,,,,,,,
DBH.HNO,Haiphong Overland Road JSC,Vietnam,,,,,,,,,,,,,,,,,
MGC.HNO,Vinacomin Mining Geology JSC,Vietnam,,,,,,,,,,,,,,,,,
SSI.HM,Saigon Securities Inc,Vietnam,461901017.6,13.22,0.69,10.3,5.86,12.68,0.58,385573044.3,1.56,2.33,2.33,540633078.2,0,59291742.73,37820251.01,-271439.46,36882136.17
SAP.HN,Textbook Printing JSC in Ho Chi Minh City,Vietnam,662384.35,,0.13,,2.83,,0.06,699350.46,1.56,0.55,1.02,574718.16,0,165733.39,-155565.57,,-124561.64
SDT.HN,Song Da No 10 JSC,Vietnam,20080973.21,5.79,1.19,6.17,0.97,5.65,0.73,67957537.36,0.51,0.9,1.29,141018159.6,0.14,71056210.96,3608523.1,-652513.2,3632552.13
SJE.HN,Song Da No 11 JSC,Vietnam,18200380.24,3.57,1.39,3.56,0.48,4.52,0.38,25673418.15,1.16,0.95,1.14,60686533.11,0.06,50467114.51,4235904.87,-4524742.15,4043319.73
HTP.HN,HoaPhat Textbook Printing JSC,Vietnam,1288831.45,12.96,0,14.32,1.85,22.69,0,1163041.21,1.48,9.9,10.52,970367.46,0.04,637495.9,50829.1,-8492.4,56985.56
PVT.HM,PetroVietnam Transportation Corp,Vietnam,147715820.4,7.76,1.07,4.57,0.83,9.32,0.67,229352029,0.97,1.62,1.67,429544648.5,0,256292291.2,19247810.27,-16329917.91,16142607.93
DRC.HM,Danang Rubber JSC,Vietnam,198309002.4,9.11,0.62,6.15,1.63,10.29,0.18,240455026.7,2.62,0.59,1.49,139808340.5,0.06,147584474.9,18462281.74,-5156703.77,18675632.13
TDH.HM,Thu Duc Housing Development Corp,Vietnam,38443169.72,12.3,0.54,21.01,1.42,11.71,0.66,51746166.12,0.43,1.53,2.14,112514584.4,0.07,39251589.86,2043463.88,-255706.8,1446675.36
DBC.HN,DABACO Group,Vietnam,115576691.5,6.53,0.9,7.79,0.75,9.53,0.5,195743812.4,1.08,0.36,1.29,205302968.3,0.03,257624222.8,11247133.95,-14454904.59,11608504.42
L18.HN,Construction and Investment JSC No 18,Vietnam,2803437.16,6.7,2.8,10.69,0.37,8.06,0.86,21240020.17,0.53,0.73,1.03,62767131.63,0.1,56674343.87,811086.53,-3680881.36,81018.42
TCM.HM,Thanh Cong Textile Garment Investment Trading JSC,Vietnam,57133325.55,14.07,1.3,8.58,0.82,14.43,0.51,107718862.1,1.47,0.32,0.95,111621777.9,0.04,124194638.4,6838926.82,-10663835.28,4064542.78
DPR.HM,Dong Phu Rubber JSC,Vietnam,68239438.78,9.96,0.14,7.29,1.8,11.01,0.16,68224719.47,0.71,3.69,4.14,150952013,0.09,38045623.82,6923842.97,-6520093.47,6398808.76
ICF.HM,Investment Commerce Fisheries Corp,Vietnam,2006109.02,117.8,0.75,12.2,1.5,136.89,0.75,8015160.73,0.26,0.24,1.53,16393096.12,0,5493655.06,17894.18,-14654.02,18319.32
ST8.HM,Sieu Thanh Joint Stock Corp,Vietnam,18772826.76,6.78,0,4.97,0.26,8.83,0,15910145.14,1.34,3.15,4.82,19612458.24,0.08,59063587.5,2753811.57,-298358.24,844966.09
VDL.HN,LamDong Foodstuffs JSC,Vietnam,20846901.85,16.28,0.07,15.1,1.1,17.37,0.09,20959742.73,2.93,1.79,3.36,9479822.03,0,18714519.36,1110272.11,-244735.72,1086195.63
QNC.HN,Quang Ninh Construction and Cement JSC,Vietnam,5347753.69,173.57,6.28,8.65,1.49,248.35,0.92,60702416.59,0.6,0.51,0.88,85924679.09,0,40514162.75,122288.65,-2566014.2,26383.11
TPC.HM,Tan Dai Hung Plastic JSC,Vietnam,6948772.77,12.26,0.6,7.49,0.3,14.57,0.78,9303757.59,0.5,1.23,1.79,23786907.2,0.08,31450901.18,470626.51,-17942.88,471715.52
BMP.HM,Binh Minh Plastics JSC,Vietnam,274775993.6,11.48,0.03,6.5,1.79,10.08,0.01,233811363.9,2.8,3.68,4.46,108466847.5,0.04,124182121.2,23082763.43,-6476659.44,27357130.27
COM.HM,Materials Petroleum JSC,Vietnam,28375232.6,8.32,0,3.51,0.12,6.62,0,21052250.1,1.46,2.03,3.38,19990250.77,0.11,187210172.8,4448451.7,-354902.34,1031836.83
CYC.HM,Chang Yih Ceramic JSC,Vietnam,1417046.52,,2.37,,0.67,,0.85,9013519,0.48,0.21,1.06,14234496.11,0,14455206.43,-1667767.35,-379975.31,-1411895.57
SJS.HM,Song Da Urban & Industrial Zone Investment and Development JSC,Vietnam,102836242.8,10.34,0.61,14.17,4.04,10.35,0.34,150386242.3,1.2,0.32,1.22,255087217.6,0,38053916.9,10047639.85,-246860.09,8247257.48
TTC.HN,Thanh Thanh JSC,Vietnam,6035176.58,4.09,0.04,2.96,0.22,6.12,0.11,3963732.33,1.38,1.24,2.05,7636790.4,0.07,17274480.45,966679.58,-280998.95,866630.34
UNI.HN,Vien Lien JSC,Vietnam,5415174.22,10.4,0,9.87,1.6,13.13,0.02,5387741.6,0.78,5.6,6.13,7355300.48,0,3410501.95,612431.1,-167220.39,418897.06
VFC.HNO,Vinafco Joint Stock Corp,Vietnam,15883957.71,28.48,0.26,2.9,0.34,5.28,0.26,17938008.14,0.81,1.59,1.69,36817867.11,0,52569916.25,1034064.94,-1388395.08,638873.59
VSH.HM,Vinh Son Song Hinh Hydropower JSC,Vietnam,134762002.9,13.44,0.73,11.82,9,13.2,0.51,179890126.7,1.05,3.41,4.17,224616770.1,0.07,20792871.4,11193134.46,-24946256.41,10249658.1
BBS.HN,Vicem Packaging But Son JSC,Vietnam,2650375.94,8.04,1.05,3.01,0.38,7.24,0.6,6543279.09,0.76,1.06,1.24,9989017.37,0.08,17308085.72,371597.47,-954269.13,404132.56
CID.HNO,Construction and Infrastructure Development JSC,Vietnam,110197.37,,0,-111.76,-1.23,,,-198367.61,0.54,0.79,0.88,702863.14,,125983.63,-37155.78,,-22361.63
DXP.HN,DoanXa Port JSC,Vietnam,21498983.71,5.83,0,3.16,1.36,6.86,0,12600099.69,1.72,6.05,6.11,13890020.77,0.07,9441568.7,3140147.9,-9199.44,3197291.02
KHP.HM,Khanh Hoa Power JSC,Vietnam,17924854.99,6.43,0.76,2.36,0.14,5.69,1.11,20182773.87,0.69,0.98,1.1,63126222.9,0.1,138474639.4,4008052.76,-13594532.48,3194813.22
VNR.HN,Vietnam National Reinsurance Corp,Vietnam,104419606.1,11.99,0,50.67,2.07,10.34,0,92377165.19,0.88,,,287602619.3,0.08,,10724018.26,-56982,1966829.01
VTL.HN,Thang Long Wine JSC,Vietnam,2888023.63,,2.07,12.95,1.49,23,0.52,5554856.13,2.06,0.46,1.03,5460033.78,0.03,3745301.69,126004.13,-241068.84,126004.13
PPC.HM,Pha Lai Thermal Power JSC,Vietnam,215007817.4,10.38,0.76,6.45,0.94,13.82,0.64,309261875.1,0.88,4.03,4.53,492405466.8,0.16,340967433.7,25167754.53,-13091205.59,15810622.08
TKU.HN,Tung Kuang Industrial JSC,Vietnam,11694839.11,55.29,0.31,7.08,0.21,15.63,0.87,7985141.53,0.64,1.41,2.31,23571842.06,0,33612133.6,203007.09,-1516425.78,
STB.HM,Saigon Thuong Tin Commercial Joint Stock Bank,Vietnam,952520160.3,14.47,0,2.84,0.35,,0,261391148.5,0.91,,,13013445948,0,,50990123.2,-27928434.71,30168121.62
SMC.HM,SMC Investment Trading JSC,Vietnam,15585275.13,,5.18,15.83,0.15,,1.31,65622423.18,0.73,0.72,0.92,134651680,0,446907204,-8711547.56,-10082676.45,-4367389.89
TCT.HM,Tay Ninh Cable Car Tour Co,Vietnam,29188506.98,11.83,0,4.57,2.72,10.36,0,22310984.8,2.46,9,9.3,10044664.63,0.05,7842309.34,2567878.67,-487228.32,2856489.42
AGF.HM,An Giang Fisheries Import & Export JSC,Vietnam,12203030.21,,1.18,13.86,0.47,,0.87,63186860.92,0.35,0.37,1.08,112582089.6,0.26,76504302.39,-19825.8,-1174061.31,-3213808.29
BBC.HM,Bibica Corp,Vietnam,48310720.55,10.5,0,5.92,0.61,14.27,0,31752260.49,1.55,2.27,2.56,44791029.87,0.02,52125589.53,3817407.71,-155082.02,3494045.31
BPC.HN,Vicem Packaging Bimson JSC,Vietnam,2976190.48,4.51,0.58,4.19,0.34,5.14,0.49,4778618.03,0.69,1.57,1.76,8272559.4,0.07,13072883.86,467997.18,-10727.11,564744.28
BTC.HNO,Binh Trieu Construction and Engineering JSC,Vietnam,3197956.95,,,,,,0,2978820.32,3.44,,,1032888.44,0,316587.75,,0,
DPC.HN,Danang Plastic JSC,Vietnam,3404382.38,34.88,0,14.14,0.79,40.25,0,2874273.2,1.98,5.56,12.08,1837209.94,0.02,3630548.33,82684.78,-13652.14,84936.61
GMD.HM,Gemadept Corp,Vietnam,231276839.1,12.96,0.37,6.51,1.82,13.21,0.3,295303031.9,1,1.6,1.67,400324774,0.07,159534361.7,20492999.11,-21667899.06,17286676.78
GIL.HM,BinhThanh Import Export Production and Trade JSC,Vietnam,33268907,5.87,1.04,5.69,0.69,6.94,0.48,38418135.74,1.65,0.85,1.39,41256124.36,0.05,48009587.03,3047780.7,-658529.98,4217764.97
HTV.HM,HaTien Transport JSC,Vietnam,9442105.26,6.1,0,1.99,0.49,7.19,0,4499758.72,0.65,7.01,7.02,15734965.8,0.05,9152443.26,1537405.23,-59647.36,1436765.23
HAS.HM,Hacisco JSC,Vietnam,3211600.43,5.82,0,4.47,0.17,5.91,0.44,3133431.52,0.57,0.99,1.33,16805361.92,,14098115.46,291893.08,-3558.72,551443.46
CAN.HN,HaLong Canned Food Joint Stock Corp,Vietnam,8234872.9,9.7,0.18,7.9,0.43,13.91,0.09,7997010.49,1.44,0.43,1.51,10414980.84,0.04,19198025.06,610425.45,-486870.07,565025.53
MHC.HM,MHC JSC,Vietnam,15415438.45,3.38,0,1.47,1.55,2.31,0.14,4847532.01,0.7,18.17,18.17,20591634.47,0,3025769.17,5001017.96,-156135.15,5237979.25
HAP.HM,Hapaco Group JSC,Vietnam,11953848.16,7.42,0.48,,1.19,8.52,0.69,21155898,0.4,1.67,1.98,49721930.11,0.09,16680828.09,1574952.59,-97954.62,1151281.91
CII.HM,Ho Chi Minh City Infrastructure Investment JSC,Vietnam,287945366.1,7.3,2.49,10.54,8.96,10.92,0.54,619515505,1.64,2.35,2.8,670189003.4,0.06,77889134.11,35214002.29,-92491704.05,6244680.76
KHA.HM,Khanh Hoi Investment and Services Corp,Vietnam,19143515.33,5.33,0.01,2,0.42,6.07,0.03,8914623.59,1.17,7.29,7.3,18985095.13,0.07,20459617.66,3575387.23,-79989,2536992.51
KDC.HM,Kido Group Corp,Vietnam,243914260.5,1.08,0.03,15.83,1.48,1.16,0.1,167499385.2,1.25,3.07,3.14,299115170.9,0.07,139685264.5,234416495.9,-10091475.54,12440997.3
LAF.HM,Long An Food Processing Export JSC,Vietnam,8700763.1,8.88,0.86,11.13,0.26,7.47,0.23,10797869.45,1.26,0.48,1.55,13571843.92,0,39027936.33,1084912.74,-369102.83,1168481.48
NHC.HN,Nhi Hiep Brick Tile Co-Operation,Vietnam,4941280.64,6.44,0.01,4.62,0.6,7.8,0.1,3633676.03,2.28,3.14,3.29,2832497.27,0.07,5857957.26,646357.39,0,590468.14
PMS.HN,Petroleum Mechanical JSC,Vietnam,4995858.66,2.65,0.24,2.69,0.12,5.13,0.43,4447203.73,0.76,1.81,2.49,10084008.36,0.08,38854736.51,1462614.06,-99131.08,1547111.23
PNC.HM,Phuong Nam Cultural Joint Stock Corp,Vietnam,6379852.9,56.12,1.75,20.13,0.74,,0.55,12644616.74,1.43,0.44,1.43,16715443.41,,15375553.57,111657.55,-454325.25,
REE.HM,Refrigeration Electrical Engineering Corp,Vietnam,295569047.7,7.95,0.16,6.83,2.52,8.41,0.15,284651538.5,1.08,1.44,1.68,427443214.3,0.04,117588253.5,39505641.18,-14522671.4,24739588.11
SAM.HM,Sacom Development and Investment Corp,Vietnam,76630670.07,27.87,0.42,16.42,1.12,35.78,0.29,109697422.7,0.73,0.86,1.71,158047668.5,0,98198711.24,2435677.17,-8853170.23,2718486.3
SFC.HM,Saigon Fuel JSC,Vietnam,12268599.34,7.28,0.98,2.66,0.1,7.71,0.97,5728871.05,1.24,1.24,1.29,22208502.87,0.06,62709759.78,1765550.13,-747720.31,1059278.36
SGH.HN,Saigon Hotel Corp,Vietnam,3905085.03,36.2,0.4,15.6,2.57,31.2,0.19,4054745.39,1.72,2.4,2.48,3326201.78,0.02,1538538.17,178677.3,,124687.18
SAV.HM,Savimex Corp,Vietnam,4266525.97,,0.77,307.4,0.41,,0.76,10316896.09,0.4,0.63,1.04,23865996.87,0,23011962.65,-1127783.65,-372924.43,-975068.96
TS4.HM,Seafood JSC No 4,Vietnam,5747079.84,21.69,2.91,10.18,1.1,22.04,0.97,36164377.27,0.47,0.33,0.98,57428712.65,0.08,33505373.53,341479.98,-281936.25,-146098.75
SSC.HM,Southern Seed Corp,Vietnam,27531120.03,19.31,0.28,9.98,1.3,15.17,0.15,31117054.98,1.75,0.99,2.62,22299522.48,0.05,23227224.91,2063749.99,-529610.03,1892064.35
TNA.HM,Thien Nam Trading Import Export JSC,Vietnam,24461614.04,6.38,2.12,8.54,0.41,8.62,0.56,48975427.83,1.76,0.28,1.18,50280683.82,0.03,102728492.9,2482182.32,-38832.52,1935938.92
TMS.HM,Transimex Saigon Corp,Vietnam,86906980.26,15.92,0.52,16.41,4.41,12.4,0.22,102850052.1,2.03,2.36,2.4,63170345.88,0.01,21743955.19,6911582.34,-11549478.6,5942052.4
VNM.HM,Vietnam Dairy Products JSC,Vietnam,7358534619,21.93,0.09,14.33,3.74,21.31,0.01,6983632759,7.26,2.15,2.79,1222338788,0.04,1782935254,345620674,-47501833.68,168325218.2
VTC.HN,VTC Telecommunications JSC,Vietnam,1621605.08,3.44,0.19,3.4,0.53,4.38,0.52,2736925.94,0.7,1.51,1.85,5719562.66,0,4834200.77,428507.2,-149677.39,417840.93
TYA.HM,Taya Vietnam Electric Wire and Cable JSC,Vietnam,22344569.04,4.15,0.48,3.3,0.27,6.78,0.35,17088579.12,1.2,1.2,1.72,34422436.77,0,62673040.15,2780221.93,-444159.98,3231918.16
HRC.HM,Hoa Binh Rubber JSC,Vietnam,40016046.46,25.56,0.35,100.04,13.46,89.2,0.16,49046182.02,1.73,0.65,0.81,32564407.73,,4202510.55,1356942.41,-3085766.61,438165.02
DHA.HM,Hoa An JSC,Vietnam,20491446.26,6.9,0,6.71,1.79,9.87,0,15847473.63,1.32,3.53,3.53,16499410.07,0.07,8963948.94,1999870.64,-513777.04,728793.61
ACB.HN,Asia Commercial Joint Stock Bank,Vietnam,766148919.3,17.43,0.24,11.73,0.86,16.25,0.27,553238085.2,1.3,,,8961609653,0,,45739857.65,-11620907.47,47062252.96
HMC.HM,Hochiminh City Metal Corp,Vietnam,6672932.33,,1.85,,0.28,,0.95,27861984.19,0.54,0.49,1.07,38222104.39,0,90858202.14,-1487632.86,-72346.01,-1060764.68
IMP.HM,Imexpharm Corp,Vietnam,56735047.21,13.74,0,7.54,1.13,16.32,0,47718582.22,1.33,3.19,4.76,48608307.31,0.05,42896745.75,4132985.61,-3353620.41,3371266.54
FMC.HM,Sao Ta Foods JSC,Vietnam,31820622.99,6.5,2.51,5.67,0.31,6.88,0.56,40999169.47,1.48,0.65,1.1,59784659.36,0.18,127968000,4331105.67,-4335914.67,-653907.15
RAL.HM,Rang Dong Light Source and Vacuum Flask JSC,Vietnam,37571607.59,6.68,2.14,6.1,0.49,8.23,0.9,57820540.79,1.48,0.55,1.24,88511144.25,0.05,118302509.2,4175300.36,-1806376.19,2864081.71
TMC.HN,Thu Duc Trading and Import Export JSC,Vietnam,8046902.97,7.4,0.01,3.84,0.07,15.37,0.08,7147267.65,0.96,0.67,1.27,13181927.36,0.08,108789072.5,1192691.7,-325046.31,194813.22
HAX.HM,Hang Xanh Motors Service JSC,Vietnam,15422540.23,6.79,1.14,49.34,0.27,6.7,0.4,23429344.57,2.14,0.35,1.17,19649443.73,0,80997408.9,1258177.05,-3057037.87,2177269.41
LGC.HM,CII Bridges and Roads Investment JSC,Vietnam,176075779,7,1.68,23.23,23.84,12.84,0.54,347724495.5,1.79,1.72,1.78,328202952.7,0.08,15687851.64,18372412.38,-45998716.03,-185517.23
SFN.HN,Saigon Fishing Net JSC,Vietnam,3114878.49,4.8,0,2.87,0.39,4.51,0,2811825.44,1.44,3.74,8.24,2456137.65,0.07,7180087.31,440889.17,-182416.52,538998.81
PJT.HM,Petrolimex Joint Stock Tanker Co,Vietnam,5518998.98,6.93,0.84,3.2,0.42,6.39,0.66,7081721.15,0.85,1.17,1.42,12836950.72,0.12,16612463.82,827954.7,-21071.12,443879.08
DMC.HM,Domesco Medical Import Export Joint Stock Corp,Vietnam,86678763.09,9.23,0,7.42,1.32,14.32,0,74175211.84,2.21,2.28,3.72,43951208.48,0.03,54894609.54,6297120.97,-678424.8,3460923.1
SJD.HM,Can Don Hydro Power JSC,Vietnam,53937420.78,6.64,0.25,5.61,3.78,7.32,0.19,60848794.75,1.12,5.47,5.54,61800829.58,0.1,16995589.34,7944123.37,-2772076.05,7334072.93
VIS.HM,Viet Nam Italy Steel JSC,Vietnam,25112378.57,,1.67,6.48,0.37,58.09,0.61,51057136.23,0.88,0.49,0.86,77775108.43,0,138020654.8,-2308624.45,-8592.49,426277.63
VID.HM,Vien Dong Investment Development Trading Corp,Vietnam,4911739.08,16.98,0.24,,1.72,6.31,0.39,8142228.8,0.38,0.98,1.37,19540235.07,0,5493522.61,401141.08,-136367.87,799242.77
SFI.HM,Sea & Air Freight International,Vietnam,12933363.72,8.27,0,2.09,0.27,6.52,0,6706513.19,0.96,1.66,1.66,21374385.86,0.05,25033461.4,2045847.1,-881462.73,1972128.09
VTB.HM,Viettronics Tan Binh JSC,Vietnam,7108236.84,11.02,0.1,7.22,0.34,14.85,0.07,5361385.84,0.76,1.25,2.05,15638873.08,0.07,15722946.62,595223.07,-12990.9,480227.19
CLC.HM,Cat Loi JSC,Vietnam,30789074.25,5.8,1,6.38,0.62,6.28,0.39,49914855.45,1.97,0.46,1.5,32876774.87,0.07,78407725.68,4521803.41,-3268932.01,4918612.68
ITA.HM,Tan Tao Investment and Industry Corp,Vietnam,165075384.7,33.64,0.17,10.11,13.69,35.43,0.29,239676423.9,0.41,1.02,2.91,566756662.1,,32970960.14,6070949.33,-162562.79,4660314.89
ALT.HN,Alta Co,Vietnam,3209311.78,,0.08,1.88,0.21,13.79,0.51,1247220.47,0.35,3.27,5.02,10462297.25,0.05,6018069.63,267410.2,-147235.29,99793.79
DCT.HNO,Dong Nai Roofsheet & Construction Material JSC,Vietnam,2314935.97,,6.84,22.94,2.51,,0.94,32186218.96,0.6,0.36,0.52,46970605.1,0,13575399.66,-5242289.14,-243374.26,
SGC.HN,Sa Giang Import Export Corp,Vietnam,13691211.24,12.07,0.14,8.04,1.11,11.77,0.03,12254194.94,2.64,1.85,2.52,6386930.72,0.07,10448984.75,1001236.05,-545115.83,1077980.1
BMI.HM,BaoMinh Insurance Corp,Vietnam,91063473.68,16.79,0,21.8,0.73,15.24,0,83423330.68,0.89,,,227775834.2,0.04,,5748229.19,-637076.38,5852846.84
VGP.HN,Vegetexco Port JSC,Vietnam,6164349.59,5.79,0,2.07,0.43,5.27,0.1,5059761.78,0.84,13.53,13.53,8197034.72,0.17,12084983.07,1681680.58,-1724793.35,686298
NAV.HM,Nam Viet JSC,Vietnam,3150726.1,12.94,0.53,9.99,0.69,18.08,0.44,5104570.24,0.74,0.92,2.03,7331061.64,0.11,7929820.44,283663.45,-220308.19,168971.73
DNP.HN,Dongnai Plastic JSC,Vietnam,27202868.56,5.06,1.75,8.32,1.12,6.33,0.57,51442385.38,2.07,0.89,1.15,31887253.76,0,40206548.12,2365102.07,-1378711.47,2737713.19
NSC.HM,National Seed JSC,Vietnam,62244944.86,10.26,0.34,7.29,1.23,9.36,0.15,75307083.7,1.66,0.87,1.79,69292219.47,0.03,55543721.68,6988810.04,-4508625.43,6712146.28
DHG.HM,DHG Pharmaceutical JSC,Vietnam,326849436.1,11.57,0.11,8.44,1.7,13.76,0.03,286468238.4,2.72,2.03,2.85,149608481.3,0.04,160487536.6,26365000.67,-7287914.27,23569748.6
LBM.HM,Lamdong Minerals and Building Materials JSC,Vietnam,10222431.08,6.39,0.04,3.47,0.73,6.94,0.02,10152823.11,1.54,2.12,2.72,8292751.6,0.05,13176959.04,1455362.06,-1622574.02,1489516.21
PVD.HM,PetroVietnam Drilling & Well Service Corp,Vietnam,503133877.8,6.46,0.49,4.95,1.2,11.82,0.43,624016273,0.91,1.6,1.82,1108328621,0.04,642539148.1,77738773.83,-162284087.6,45016345.2
SDC.HN,Song Da Consulting JSC,Vietnam,1821988.4,27.12,0.05,4.86,0.44,106.04,0.01,1657371.3,0.75,1.13,1.63,5715251.12,0.06,3824730.85,50627.28,-52135.28,16984.79
SDA.HN,Simco Songda JSC,Vietnam,6098780.34,34.88,0.56,32.25,0.42,13.91,0.44,3545717.41,0.46,1.53,1.56,24745175.39,,8424882.85,195346.39,-988258.68,253013.19
S55.HN,Song Da 505 JSC,Vietnam,10388829.22,3.61,0.74,8.85,0.71,6.62,0.53,14225574.69,1.01,1.5,1.61,27134252.27,0.04,20615711.89,2212213.63,-4683234.18,
CMC.HN,CMC Investment JSC,Vietnam,1122707.44,125.56,0.43,,-1.05,,,-518043.54,0.37,2.09,2.34,4004288.19,0,317975.57,6463.71,,-29865.15
VIP.HM,Viet Nam Petroleum Transport JSC,Vietnam,26062474.94,11.42,0.35,3.98,1.51,12.05,0.45,37059356.58,0.56,0.69,1.01,67529682.9,0.05,25663616.39,2351198.81,-405161.4,852964.17
PAC.HM,Dry Cell and Storage Battery JSC,Vietnam,66554872.18,14.26,0.83,7.77,0.74,19.7,0.28,71631897.47,2.75,0.6,1.18,56237280.51,0.05,94163774.47,4024748.15,-890804.42,49696.68
PGC.HM,Petrolimex Gas Corp JSC,Vietnam,28354927.16,6.31,1.46,5.62,0.34,5.21,1.07,38552183.18,0.98,0.61,0.71,90505401.66,0.11,114322666.2,4327083.97,-5913245.3,3846285.23
TAC.HM,Tuong An Vegetable Oil JSC,Vietnam,51816693.52,11.48,0.88,10.03,0.31,17.66,0.33,50628060.19,2.48,0.57,1.35,54536580.81,0.03,159848513.7,3102311.83,-790136.64,2943866.21
FPT.HM,FPT Corp,Vietnam,832592395,11.01,1.03,6.32,0.6,11.13,0.36,1022911274,2.07,0.91,1.27,1158611590,0.05,1688598699,108455728,-92980460.83,57687019.53
VTA.HNO,Vitaly JSC,Vietnam,2792696.03,3.99,1.84,2.85,0.29,3.56,0.61,4198016.5,1.57,0.19,0.75,7502380.29,0,13504073.88,597856.47,-430647.69,687248.23
ABT.HM,Bentre Aquaproduct Import and Export JSC,Vietnam,24698726.1,8.49,0.33,5.5,0.9,10.12,0.36,18582653.49,1.37,2.11,2.91,26007828.15,0.11,21085710.89,3064279.53,-175193.38,704885.82
DIC.HM,DIC Investment and Trading JSC,Vietnam,8804834.23,19.2,2.67,10.1,0.38,84.14,0.82,46688292.18,0.7,0.73,1.05,56065796.5,,134010693,862739.34,-1011155.02,275871.83
DTT.HM,Do Thanh Technology Corp,Vietnam,3757775.96,18.26,0.18,5.7,0.78,13.54,0.21,4374426.91,0.71,1.54,2.11,6670105.97,0.07,5478392.46,250191.16,-123847.19,37733.11
HBD.HNO,Binh Duong PP Pack Making JSC,Vietnam,1022771.21,,,,,,0,384036.48,0.96,,,1193630.11,0.13,238192.62,,,-24697.68
